date,open,high,low,close,adjusted_close,volume
2012-01-27,131.24,132.05,131.15,131.82,103.171882582056,135185159
2012-01-30,130.51,131.44,130.06,131.37,102.819679978795,146747212
2012-01-31,132.02,132.18,130.68,131.32,102.78054635621,157082268
2012-02-01,132.29,133.14,132.13,132.47,103.680619675656,165757550
2012-02-02,132.73,133.02,132.21,132.68,103.844980890512,112910085
2012-02-03,134.0,134.62,133.77,134.54,105.300751650659,160517202
2012-02-06,133.98,134.51,133.83,134.45,105.230311130007,107517511
2012-02-07,134.17,135.02,133.64,134.79,105.496419763582,135265501
2012-02-08,134.86,135.22,134.31,135.19,105.809488744259,138506870
2012-02-09,135.41,135.59,134.56,135.36,105.942543061047,148313299
2012-02-10,134.16,134.47,133.84,134.36,105.159870609354,167753903
2012-02-13,135.32,135.52,134.74,135.36,105.942543061047,115201853
2012-02-14,135.0,135.27,134.25,135.19,105.809488744259,165300175
2012-02-15,135.63,135.83,134.29,134.56,105.316405099693,194497951
2012-02-16,134.57,136.17,134.33,136.05,106.482587052714,186193854
2012-02-17,136.52,136.63,135.96,136.41,106.764349135323,129075063
2012-02-21,136.73,137.05,136.05,136.47,106.811309482425,133899477
2012-02-22,136.26,136.55,135.79,136.03,106.46693360368,123997265
2012-02-23,135.96,136.73,135.5,136.63,106.936537074696,137488236
2012-02-24,136.93,137.2,136.63,136.93,107.171338810203,105474533
2012-02-27,136.02,137.53,135.8,137.16,107.351353474092,145563368
2012-02-28,137.2,137.72,136.93,137.56,107.664422454769,129145619
2012-02-29,137.76,138.19,136.54,137.02,107.241779330856,185615627
2012-03-01,137.31,137.99,136.93,137.73,107.797476771557,144742785
2012-03-02,137.64,137.82,137.0,137.31,107.468754341846,120536666
2012-03-05,137.1,137.2,136.28,136.75,107.030457768899,140544479
2012-03-06,135.35,135.43,134.36,134.75,105.465112865514,201787583
2012-03-07,135.06,135.91,134.93,135.69,106.200824970105,143600783
2012-03-08,136.52,137.32,136.24,137.04,107.257432779889,116712098
2012-03-09,137.3,137.93,137.13,137.57,107.672249179286,122808966
2012-03-12,137.55,137.76,137.09,137.58,107.680075903803,103873080
2012-03-13,138.32,140.13,138.09,140.06,109.621103584,183032814
2012-03-14,140.1,140.45,139.48,139.91,109.503702716246,145034209
2012-03-15,140.12,140.78,139.76,140.72,110.137667402116,164882424
2012-03-16,140.36,140.48,140.0,140.3,110.289419763775,151779966
2012-03-19,140.21,141.28,140.11,140.85,110.721773155579,125211330
2012-03-20,140.05,140.61,139.64,140.44,110.399473354416,121629293
2012-03-21,140.52,140.65,139.92,140.21,110.218671026934,122251226
2012-03-22,139.18,139.55,138.74,139.2,109.424712980167,135040700
2012-03-23,139.32,139.81,138.55,139.65,109.77845666437,120400107
2012-03-26,140.65,141.61,140.6,141.61,111.319206933344,119477129
2012-03-27,141.74,141.83,141.08,141.17,110.973324219901,119584541
2012-03-28,141.1,141.32,139.64,140.47,110.423056266696,148434044
2012-03-29,139.64,140.49,139.09,140.23,110.234392968454,164884702
2012-03-30,140.92,141.05,140.05,140.81,110.690329272538,135353643
2012-04-02,140.64,142.21,140.36,141.84,111.500009260826,151598615
